ID,Code,Day,Month,Year,Addressed from (Actual) ,Reg. Place written,Reg. Place written city,Reg. Place written country,"Reg. Place written, second city",Autograph or Typed,PhysDes,initialed or signed,phys descr detail,PhysDes notes,leaves,sides,Envelope,Postmark (Actual),Addressed to (Actual),Reg. recipient,Reg place sent,Reg. PlaceSent City,Reg. PlaceSent Country,Additional,Repository,Public?,Collection,Repository information,Second Repository,SECOND PUBLIC?,OwnerRights,PrimaryLang,File,Sender,PlacePrevPubl,Verified
1,SABE ND MONDAY JAMA,0,0,0,NP,,,,,A,L,S,,,1,1,,,GLORIA AND JACK MACGOWRAN,GLORIA AND JACK MACGOWRAN,LONDON,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
2,SABE 27-07-61 JAMA,27,7,61,LA FERTÉ SOUS JOUARRE,,Ussy-sur-Marne,France,Ussy-sur-Marne,A,PC,S,,,1,1,E,"27-7-61, LA FERTE-SOUS-JOUARRE",JACK MACGOWRAN,JACK MACGOWRAN,LONDON,,,"""CRYPTE DE L'ANCIENNE ABBAYE, NOTRE DAME, JOUARRE""",University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
3,SABE 11-07-62 JAMA,11,7,62,"38 BLD. ST. JACQUES, PARIS 14ME",38 Boulevard Saint-Jacques,Paris,France,,T,L,S,,,1,1,,,JACK MACGOWRAN,JACK MACGOWRAN,LONDON,,,AN P.S.,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
4,SABE 01-10-63 JAMA,1,10,63,PARIS,,Paris,France,,A,L,S,,,1,1,E,1-10-63 PA,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER STREET/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
5,SABE 26-10-63 JAMA,26,10,63,PARIS,,Paris,France,,A,L,S,,,1,1,E,26-10-63 P,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER ST./LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
6,SABE 16-01[SIC11]-63 JAMA,16,11,63,PARIS,,Paris,France,,A,C,S,,,1,1,E,16-11-63 P,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER ST./LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
7,SABE 29-11-63 JAMA,29,11,63,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,C,S,,,1,1,E,30-11-63 LA FERTE-SOUS-JOUARRE,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER ST./LONDON W.1/ANGLETERRE,,,ENC. T AND ALS/M.BLAKE,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
8,SABE 25-04-63 JAMA,25,4,63,LA FERTÉ SOUS JOUARRE,,Ussy-sur-Marne,France,Ussy-sur-Marne,A,PC,S,,,1,1,,25-04-63LA,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER ST/LONDON W.1/ANGLETERRE,,,"GOLF COURSE AND SKI JUMP, DARTMOUTH COLLEGE, HANOVER, N.H.",University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
9,SABE 28-07-63 JAMA,28,7,63,PARIS,,Paris,France,,A,C,S,,,1,1,E,29-7-63 PA,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER STREET/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
10,SABE 04-07-63 JAMA,4,7,63,BERGHOTEL/ZELL AM SEE/AUSTRIA,Berghotel,Zell-am-See,Austria,,A,L,S,,,2,2,E,5/7/63,JACK MACGOWRAN,JACK MACGOWRAN,"55 MANCHESTER ST., LONDON W.1, ENGLAND",,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
11,SABE 23-08-63 JAMA,23,8,63,PARIS,,Paris,France,,A,L,S,,,1,1,E,"23-8-63, PARIS",JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER ST./LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
12,SABE 17-09-63 JAMA,17,9,63,PARIS,,Paris,France,,A,L,S,,,1,1,E,18-9-63 PA,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER ST/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
13,SABE 25-9-63 JAMA,25,9,63,PARIS,,Paris,France,,A,L,S,,,1,1,E,26-9-63 PA,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER STREET/ LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
14,SABE 05-10-66 JAMA,5,10,66,PARIS,,Paris,France,,A,L,S,,,1,1,E,ILLEGPARIS,JACK MACGOWRAN,JACK MACGOWRAN,C/O PETERSHAM FILMS/CALLE LAS CONCHOS/ALMERIA/ESPAGNE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
15,SABE 27-05-64 JAMA,27,5,64,PARIS,,Paris,France,,A,L,S,,,1,1,E,27-5-64,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER STREET/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
16,SABE 10-07-64 JAMA,10,7,64,"JAMAICA, NEW YORK",Jamaica,New York,USA,,A,C,S,,,1,1,E,11-7-64 NY,JACK MACGOWRAN,JACK MACGOWRAN,55 MANCHESTER STREET/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
17,SABE 07-12-65 JAMA,7,12,65,PARIS,,Paris,France,,A,L,S,,,1,1,E,7-12-65 PA,JACK MACGOWRAN,JACK MACGOWRAN,36 THAYER STREET/LONDON W.1/ANGLETERRE,,,NOTES LEFT&RIGHT MARGINS,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
18,SABE 03-02-65 JAMA,3,2,65,PARIS,,Paris,France,,A,L,S,,,1,1,E,3-2-65 PARIS,JACK MACGOWRAN,JACK MACGOWRAN,1 MONTAGU SQUARE/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
19,SABE 01-03-65 JAMA,1,3,65,PARIS,,Paris,France,,T,L,S,,,1,1,E,1/3/65,JACK MACGOWRAN,JACK MACGOWRAN,1 MONTAGU SQUARE/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
20,SABE 10-04-65 JAMA,10,4,65,PARIS,,Paris,France,,A,C,S,,,1,2,E,10-4-65 PA,JACK MACGOWRAN,JACK MACGOWRAN,1 MONTAGU SQUARE/LONDON W.1/ANGLETERRE,,,,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
21,SABE 15-05-65 JAMA,15,5,65,USSY SUR MARNE,,Ussy-sur-Marne,France,,A,L,S,,,1,1,E,15-5-65 LA,JACK MACGOWRAN,JACK MACGOWRAN,1 MONTAGU SQUARE/LONDON W.1/ANGLETERRE,,,"enclosure TMS 5 leaves, 5 sides Eh Joe",University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
22,SABE 08-07-65 JAMA,8,7,65,"COURMAYEUR, ITALY",,Courmayeur,Italy,,A,PC,S,,,1,1,,"11/7/65, COURMAYEUR",MR & MRS JACK MACGOWRAN,MR & MRS JACK MACGOWRAN,1 MONTAGU SQUARE/LONDON W.1/ANGLETERRE,,,AN AH 55 MANCHESTER ST.,University of Texas at Austin,public,BECKETT,"TxU, Beckett Collection, 9.3",,,Beckett,English,MACGOWRAN J,Samuel Beckett,,
